entities.short_name,entities.name,countries.name,European_Political_Group
N-VA,Nieuw-Vlaamse Alliantie,Belgium,ECR
Eco,Ecolo,Belgium,Greens/EFA
VB,Vlaams Belang,Belgium,ID
CD&V,Christen-Democratisch en Vlaams,Belgium,EPP
Open VLD,Open Vlaamse Liberalen en Democraten,Belgium,RE
GRO,Groen,Belgium,Greens/EFA
PVDA,PVDA-PTB,Belgium,GUE/NGL
PS,Parti Socialiste,Belgium,S&D
V,Vooruit,Belgium,S&D
DéFI,DéFI,Belgium,RE
VU,Voor U,Belgium,uncertain
ProDG,Pro Deutschsprachige Gemeinschaft,Belgium,uncertain
l'Unie,l'Unie,Belgium,uncertain
PB,Blanco,Belgium,uncertain
B.U.B.,Belgische Unie - Union Belge,Belgium,uncertain
ДПС,Движение за права и свободи,Bulgaria,RE
Други,Други,Bulgaria,uncertain
ГЕРБ,ГЕРБ–СДС,Bulgaria,EPP
БСП,Българска социалистическа партия,Bulgaria,S&D
ПП,ПП-ДБ,Bulgaria,uncertain
Проруски/националистически медии,Проруски/националистически медии,Bulgaria,uncertain
БВ,Български възход,Bulgaria,uncertain
ВМРО,ВМРО – Българско национално движение,Bulgaria,ECR
В,Възраждане,Bulgaria,uncertain
ИТН,Има такъв народ,Bulgaria,uncertain
HNS,Hrvatska narodna stranka,Croatia,RE
MOS,Most,Croatia,uncertain
Ost,Ostale,Croatia,uncertain
Možemo,Možemo!,Croatia,Greens/EFA
HDZ,Hrvatska demokratska zajednica,Croatia,EPP
SDP,Socijaldemokratska partija Hrvatske,Croatia,S&D
SD,Socijaldemokrati,Croatia,S&D
DP,Domovinski pokret,Croatia,ID
Vlada,Vlada,Croatia,uncertain
SDP et al,"SDP, Centar, HSS, DO i SIP, Reformisti, Glas",Croatia,S&D
HDZ et al,"HDZ, HSLS, HDS, HNS, HSU",Croatia,EPP
Socijaldemokrati et al,"Socijaldemokrati, IDS, PGS, Laburisti, Demokrati",Croatia,S&D
MOST et al,"MOST, Hrvatski suverenisti, HKS, NLM",Croatia,uncertain
SDP et al (u 7. jedinici),"SDP, Centar, HSS, DO i SIP, Glas (u 7. jedinici)",Croatia,S&D
DIKO,DIKO,Cyprus,EPP
